triage_rank,primary_manual_action,action_flags,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,display_name,candidate_next_action_bucket,source_tier,source_priority_rows,source_priority_rank_range,source_priority_csv_filter,official_source_candidate_rows,operator_verify_required_source_rows,source_reviewed_waiting_for_local_asset_rows,missing_local_candidate_asset_rows,candidate_id_preview,advisory_source_domains,advisory_source_candidate_urls,review_board_to_open,manual_intake_file_to_open,future_download_intake_file,render_readiness,safe_next_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,boston_fleet,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,1-3,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=boston_fleet,3,3,0,3,boston_fleet_league_player_index_candidate_03 | boston_fleet_roster_source_candidate_01 | boston_fleet_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/boston-fleet/roster | https://www.thepwhl.com/en/teams/boston-fleet,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,detroit,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,4-6,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=detroit,3,3,0,3,detroit_league_player_index_candidate_03 | detroit_roster_source_candidate_01 | detroit_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/detroit/roster | https://www.thepwhl.com/en/teams/detroit,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,hamilton,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,7-9,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=hamilton,3,3,0,3,hamilton_league_player_index_candidate_03 | hamilton_roster_source_candidate_01 | hamilton_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/hamilton/roster | https://www.thepwhl.com/en/teams/hamilton,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,las_vegas,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,10-12,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=las_vegas,3,3,0,3,las_vegas_league_player_index_candidate_03 | las_vegas_roster_source_candidate_01 | las_vegas_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/las-vegas/roster | https://www.thepwhl.com/en/teams/las-vegas,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,minnesota_frost,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,13-15,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=minnesota_frost,3,3,0,3,minnesota_frost_league_player_index_candidate_03 | minnesota_frost_roster_source_candidate_01 | minnesota_frost_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/minnesota-frost/roster | https://www.thepwhl.com/en/teams/minnesota-frost,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,montreal_victoire,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,16-18,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=montreal_victoire,3,3,0,3,montreal_victoire_league_player_index_candidate_03 | montreal_victoire_roster_source_candidate_01 | montreal_victoire_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/montreal-victoire/roster | https://www.thepwhl.com/en/teams/montreal-victoire,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,new_york_sirens,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,19-21,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=new_york_sirens,3,3,0,3,new_york_sirens_league_player_index_candidate_03 | new_york_sirens_roster_source_candidate_01 | new_york_sirens_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/new-york-sirens/roster | https://www.thepwhl.com/en/teams/new-york-sirens,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,ottawa_charge,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,22-24,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=ottawa_charge,3,3,0,3,ottawa_charge_league_player_index_candidate_03 | ottawa_charge_roster_source_candidate_01 | ottawa_charge_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/ottawa-charge/roster | https://www.thepwhl.com/en/teams/ottawa-charge,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,san_jose,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,25-27,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=san_jose,3,3,0,3,san_jose_league_player_index_candidate_03 | san_jose_roster_source_candidate_01 | san_jose_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/san-jose/roster | https://www.thepwhl.com/en/teams/san-jose,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,seattle_torrent,operator_add_player_from_league_player_index,official_roster_team_source_verify,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,3,28-30,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=seattle_torrent,3,3,0,3,seattle_torrent_league_player_index_candidate_03 | seattle_torrent_roster_source_candidate_01 | seattle_torrent_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/seattle-torrent/roster | https://www.thepwhl.com/en/teams/seattle-torrent,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
